Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
searchTestSuite,Chrome 66.0.3359.158,,2018-05-19 14:34:34,2018-05-19 14:36:17,1m - 43.238s,FAILED
,,,,,,
Test Cases/searchAmazon,Chrome 66.0.3359.158,,2018-05-19 14:34:34,2018-05-19 14:35:22,47.451s,PASSED
openBrowser,Chrome 66.0.3359.158,,2018-05-19 14:34:35,2018-05-19 14:35:04,29.386s,PASSED
navigateToUrl,Chrome 66.0.3359.158,,2018-05-19 14:35:04,2018-05-19 14:35:06,1.249s,PASSED
setText,Chrome 66.0.3359.158,,2018-05-19 14:35:06,2018-05-19 14:35:07,0.974s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 14:35:07,2018-05-19 14:35:10,3.038s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 14:35:10,2018-05-19 14:35:16,6.657s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 14:35:16,2018-05-19 14:35:18,1.963s,PASSED
click,Chrome 66.0.3359.158,,2018-05-19 14:35:18,2018-05-19 14:35:19,0.808s,PASSED
verifyElementPresent,Chrome 66.0.3359.158,,2018-05-19 14:35:19,2018-05-19 14:35:19,0.131s,PASSED
closeBrowser,Chrome 66.0.3359.158,,2018-05-19 14:35:19,2018-05-19 14:35:22,2.721s,PASSED
,,,,,,
Test Cases/searchGoogle,Chrome 66.0.3359.158,,2018-05-19 14:35:22,2018-05-19 14:36:15,52.825s,FAILED
openBrowser,Chrome 66.0.3359.158,,2018-05-19 14:35:22,2018-05-19 14:35:45,23.172s,PASSED
navigateToUrl,Chrome 66.0.3359.158,,2018-05-19 14:35:45,2018-05-19 14:35:46,0.709s,PASSED
setText,Chrome 66.0.3359.158,,2018-05-19 14:35:46,2018-05-19 14:36:15,28.615s,FAILED
